sms_id,message,message_length,label
SPAM_SMS_01771,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_05516,Please call me when you are free.,33,ham
HAM_SMS_01600,Please find the details shared in the group.,44,ham
HAM_SMS_00921,Please find the details shared in the group.,44,ham
SPAM_SMS_01994,Suspicious login detected. Update your password immediately.,60,spam
HAM_SMS_00906,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_00724,Your order has been delivered successfully.,43,ham
SPAM_SMS_01363,Claim your free gift card now before it expires.,48,spam
HAM_SMS_05506,I reached home safely.,22,ham
HAM_SMS_02861,Thank you for your message. I will check and reply soon.,56,ham
SPAM_SMS_01415,Limited time offer. Get free coupons by clicking this link.,59,spam
HAM_SMS_00495,Can you send me the notes from today's lecture?,47,ham
SPAM_SMS_02130,Suspicious login detected. Update your password immediately.,60,spam
HAM_SMS_07253,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_02760,Your order has been delivered successfully.,43,ham
HAM_SMS_02199,Please call me when you are free.,33,ham
HAM_SMS_05328,Your class schedule has been updated for tomorrow.,50,ham
SPAM_SMS_01607,Free entry in a lucky draw. Text WIN to claim your reward.,58,spam
HAM_SMS_04234,I reached home safely.,22,ham
HAM_SMS_02191,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_02159,Please call me when you are free.,33,ham
HAM_SMS_04801,Please call me when you are free.,33,ham
SPAM_SMS_02084,Free entry in a lucky draw. Text WIN to claim your reward.,58,spam
HAM_SMS_01088,Please confirm your availability for the session.,49,ham
HAM_SMS_01739,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_00370,Please confirm your availability for the session.,49,ham
HAM_SMS_00222,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_01661,The report is ready for review.,31,ham
HAM_SMS_05008,Your order has been delivered successfully.,43,ham
HAM_SMS_05859,Please call me when you are free.,33,ham
HAM_SMS_02922,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_04647,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_03952,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_07127,Your order has been delivered successfully.,43,ham
HAM_SMS_02930,Your payment has been received successfully.,44,ham
SPAM_SMS_00585,Earn money from home without investment. Join now.,50,spam
HAM_SMS_01681,The report is ready for review.,31,ham
HAM_SMS_05835,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_06305,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_01872,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_01218,Your payment has been received successfully.,44,ham
HAM_SMS_02402,Please call me when you are free.,33,ham
HAM_SMS_06706,The interview schedule will be shared soon.,43,ham
HAM_SMS_07001,I reached home safely.,22,ham
HAM_SMS_07049,Your order has been delivered successfully.,43,ham
HAM_SMS_04423,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_05998,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_05605,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_02056,The interview schedule will be shared soon.,43,ham
HAM_SMS_06219,Please confirm your availability for the session.,49,ham
HAM_SMS_02247,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_03397,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_05993,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_06073,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_06137,Your order has been delivered successfully.,43,ham
HAM_SMS_02493,The interview schedule will be shared soon.,43,ham
SPAM_SMS_00020,Exclusive offer only for you. Click here to redeem.,51,spam
HAM_SMS_00742,Please call me when you are free.,33,ham
HAM_SMS_02753,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_05575,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_02358,The interview schedule will be shared soon.,43,ham
HAM_SMS_02978,The interview schedule will be shared soon.,43,ham
HAM_SMS_07364,Please find the details shared in the group.,44,ham
HAM_SMS_03306,I reached home safely.,22,ham
HAM_SMS_05244,I reached home safely.,22,ham
HAM_SMS_02025,The report is ready for review.,31,ham
HAM_SMS_00614,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_01222,Your payment has been received successfully.,44,ham
HAM_SMS_06589,Please find the details shared in the group.,44,ham
HAM_SMS_05334,Your payment has been received successfully.,44,ham
HAM_SMS_06115,Can you send me the notes from today's lecture?,47,ham
SPAM_SMS_01008,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_00927,Your order has been delivered successfully.,43,ham
HAM_SMS_01556,Please call me when you are free.,33,ham
HAM_SMS_02014,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_02944,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_04358,The report is ready for review.,31,ham
HAM_SMS_00452,"Hey, are we meeting today for the project discussion?",53,ham
SPAM_SMS_00803,Your loan is approved. Pay processing fee to receive funds.,59,spam
SPAM_SMS_01474,Earn money from home without investment. Join now.,50,spam
HAM_SMS_07337,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_07438,Please confirm your availability for the session.,49,ham
HAM_SMS_02244,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_04881,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_01131,Please find the details shared in the group.,44,ham
HAM_SMS_00450,Let's discuss the presentation after lunch.,43,ham
SPAM_SMS_01556,Free entry in a lucky draw. Text WIN to claim your reward.,58,spam
HAM_SMS_00762,I reached home safely.,22,ham
HAM_SMS_03270,Please call me when you are free.,33,ham
HAM_SMS_07400,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_01579,Please find the details shared in the group.,44,ham
HAM_SMS_03733,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_06860,Your order has been delivered successfully.,43,ham
HAM_SMS_03853,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_05961,Your order has been delivered successfully.,43,ham
HAM_SMS_02468,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_04330,Your class schedule has been updated for tomorrow.,50,ham
SPAM_SMS_01823,Claim your free gift card now before it expires.,48,spam
SPAM_SMS_00438,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_00920,Please call me when you are free.,33,ham
SPAM_SMS_00123,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_03564,I reached home safely.,22,ham
HAM_SMS_05542,Your order has been delivered successfully.,43,ham
HAM_SMS_02613,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_01039,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_00208,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_01078,The report is ready for review.,31,ham
HAM_SMS_07007,Please find the details shared in the group.,44,ham
HAM_SMS_00799,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_04254,The report is ready for review.,31,ham
HAM_SMS_05800,Please confirm your availability for the session.,49,ham
HAM_SMS_03565,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_03278,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_06254,Your payment has been received successfully.,44,ham
HAM_SMS_02281,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_06392,Please call me when you are free.,33,ham
SPAM_SMS_01354,You won a shopping voucher. Claim it today.,43,spam
HAM_SMS_00759,Please call me when you are free.,33,ham
HAM_SMS_05692,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_02726,Please confirm your availability for the session.,49,ham
HAM_SMS_03523,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_05749,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_06855,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_07054,The interview schedule will be shared soon.,43,ham
HAM_SMS_07477,The interview schedule will be shared soon.,43,ham
SPAM_SMS_00181,Earn money from home without investment. Join now.,50,spam
HAM_SMS_06881,Please call me when you are free.,33,ham
HAM_SMS_04893,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_05513,The interview schedule will be shared soon.,43,ham
HAM_SMS_05916,Please call me when you are free.,33,ham
HAM_SMS_05091,Your payment has been received successfully.,44,ham
HAM_SMS_03097,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_02347,I reached home safely.,22,ham
SPAM_SMS_02414,Claim your free gift card now before it expires.,48,spam
HAM_SMS_01128,The report is ready for review.,31,ham
HAM_SMS_03430,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_01634,I reached home safely.,22,ham
HAM_SMS_06980,The interview schedule will be shared soon.,43,ham
HAM_SMS_02668,Please call me when you are free.,33,ham
HAM_SMS_01546,Please call me when you are free.,33,ham
HAM_SMS_06121,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_02057,Please find the details shared in the group.,44,ham
HAM_SMS_05919,Please call me when you are free.,33,ham
HAM_SMS_00775,Reminder: submit your assignment before the deadline.,53,ham
SPAM_SMS_01243,Win money instantly. Register today and claim your bonus.,57,spam
HAM_SMS_04613,The report is ready for review.,31,ham
SPAM_SMS_01762,Free entry in a lucky draw. Text WIN to claim your reward.,58,spam
HAM_SMS_03921,Please find the details shared in the group.,44,ham
SPAM_SMS_01278,You won a shopping voucher. Claim it today.,43,spam
HAM_SMS_01483,Your class schedule has been updated for tomorrow.,50,ham
SPAM_SMS_00219,Urgent! Your bank account will be blocked. Verify your details immediately.,75,spam
HAM_SMS_01334,Please find the details shared in the group.,44,ham
HAM_SMS_02254,The report is ready for review.,31,ham
HAM_SMS_03540,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_06509,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_03230,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_05461,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_03395,Please call me when you are free.,33,ham
HAM_SMS_00573,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_01212,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_00210,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_06591,Please find the details shared in the group.,44,ham
SPAM_SMS_01682,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_01842,The report is ready for review.,31,ham
HAM_SMS_00482,Please find the details shared in the group.,44,ham
HAM_SMS_03747,Let's discuss the presentation after lunch.,43,ham
SPAM_SMS_00767,Your loan is approved. Pay processing fee to receive funds.,59,spam
HAM_SMS_03914,I reached home safely.,22,ham
SPAM_SMS_02167,Final warning! Complete KYC verification now.,45,spam
SPAM_SMS_00841,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_00416,Your order has been delivered successfully.,43,ham
HAM_SMS_03662,The meeting has been shifted to 4 PM.,37,ham
SPAM_SMS_00754,Recharge offer available. Get double benefits today.,52,spam
SPAM_SMS_00224,Exclusive offer only for you. Click here to redeem.,51,spam
HAM_SMS_02097,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_05765,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_03730,The interview schedule will be shared soon.,43,ham
SPAM_SMS_00737,Urgent! Your bank account will be blocked. Verify your details immediately.,75,spam
HAM_SMS_02266,I reached home safely.,22,ham
HAM_SMS_01253,Please call me when you are free.,33,ham
SPAM_SMS_00946,Suspicious login detected. Update your password immediately.,60,spam
HAM_SMS_07006,I reached home safely.,22,ham
SPAM_SMS_01776,Your loan is approved. Pay processing fee to receive funds.,59,spam
HAM_SMS_01800,I reached home safely.,22,ham
HAM_SMS_00924,The meeting has been shifted to 4 PM.,37,ham
SPAM_SMS_00539,Limited time offer. Get free coupons by clicking this link.,59,spam
SPAM_SMS_01233,Your loan is approved. Pay processing fee to receive funds.,59,spam
HAM_SMS_02370,Your class schedule has been updated for tomorrow.,50,ham
SPAM_SMS_00221,Your loan is approved. Pay processing fee to receive funds.,59,spam
HAM_SMS_01067,The report is ready for review.,31,ham
SPAM_SMS_00454,You won a shopping voucher. Claim it today.,43,spam
SPAM_SMS_00834,Exclusive offer only for you. Click here to redeem.,51,spam
HAM_SMS_02364,I reached home safely.,22,ham
HAM_SMS_04811,Your order has been delivered successfully.,43,ham
HAM_SMS_01302,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_04146,The interview schedule will be shared soon.,43,ham
HAM_SMS_04512,Your payment has been received successfully.,44,ham
HAM_SMS_02400,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_05199,The report is ready for review.,31,ham
HAM_SMS_05560,The interview schedule will be shared soon.,43,ham
SPAM_SMS_01991,Win money instantly. Register today and claim your bonus.,57,spam
HAM_SMS_00265,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_02433,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_06909,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_00766,Please find the details shared in the group.,44,ham
HAM_SMS_03135,Please find the details shared in the group.,44,ham
HAM_SMS_00749,Your order has been delivered successfully.,43,ham
HAM_SMS_06996,Please confirm your availability for the session.,49,ham
SPAM_SMS_00368,Suspicious login detected. Update your password immediately.,60,spam
HAM_SMS_06631,Your payment has been received successfully.,44,ham
SPAM_SMS_02021,Recharge offer available. Get double benefits today.,52,spam
SPAM_SMS_00881,Claim your free gift card now before it expires.,48,spam
SPAM_SMS_00051,You are selected for a reward. Send your account details now.,61,spam
HAM_SMS_02971,The interview schedule will be shared soon.,43,ham
HAM_SMS_04621,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_07231,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_04820,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_06288,Please find the details shared in the group.,44,ham
SPAM_SMS_01518,Free entry in a lucky draw. Text WIN to claim your reward.,58,spam
HAM_SMS_05992,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_06862,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_00568,The report is ready for review.,31,ham
HAM_SMS_04205,Your payment has been received successfully.,44,ham
HAM_SMS_06008,Let's discuss the presentation after lunch.,43,ham
SPAM_SMS_00811,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_05082,The interview schedule will be shared soon.,43,ham
HAM_SMS_04342,I reached home safely.,22,ham
HAM_SMS_03836,Can you send me the notes from today's lecture?,47,ham
SPAM_SMS_01748,Earn money from home without investment. Join now.,50,spam
SPAM_SMS_02077,You won a shopping voucher. Claim it today.,43,spam
HAM_SMS_03531,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_01005,The interview schedule will be shared soon.,43,ham
SPAM_SMS_01565,Earn money from home without investment. Join now.,50,spam
SPAM_SMS_01501,You won a shopping voucher. Claim it today.,43,spam
SPAM_SMS_00499,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_00015,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_01339,I reached home safely.,22,ham
HAM_SMS_05989,Please find the details shared in the group.,44,ham
HAM_SMS_07170,Please call me when you are free.,33,ham
HAM_SMS_00157,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_05248,The report is ready for review.,31,ham
SPAM_SMS_02445,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_05079,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_03105,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_00647,Please call me when you are free.,33,ham
HAM_SMS_06420,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_04854,Your payment has been received successfully.,44,ham
SPAM_SMS_02129,Win money instantly. Register today and claim your bonus.,57,spam
SPAM_SMS_02381,Claim your free gift card now before it expires.,48,spam
SPAM_SMS_02132,Urgent! Your bank account will be blocked. Verify your details immediately.,75,spam
SPAM_SMS_00369,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_06372,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_03104,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_07426,Your payment has been received successfully.,44,ham
HAM_SMS_07474,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_05021,The report is ready for review.,31,ham
HAM_SMS_00894,The report is ready for review.,31,ham
HAM_SMS_05976,Your payment has been received successfully.,44,ham
SPAM_SMS_02245,Your mobile number has won a lottery prize.,43,spam
SPAM_SMS_02315,You won a shopping voucher. Claim it today.,43,spam
SPAM_SMS_02010,Recharge offer available. Get double benefits today.,52,spam
SPAM_SMS_02015,Earn money from home without investment. Join now.,50,spam
HAM_SMS_00020,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_01881,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_02079,Your payment has been received successfully.,44,ham
SPAM_SMS_01523,Suspicious login detected. Update your password immediately.,60,spam
HAM_SMS_07310,Please confirm your availability for the session.,49,ham
HAM_SMS_05387,The interview schedule will be shared soon.,43,ham
HAM_SMS_06025,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_04026,Please call me when you are free.,33,ham
SPAM_SMS_01870,Congratulations! You have won a cash prize. Click the link to claim now.,72,spam
HAM_SMS_04419,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_01215,Please call me when you are free.,33,ham
HAM_SMS_04681,Please confirm your availability for the session.,49,ham
HAM_SMS_03847,The interview schedule will be shared soon.,43,ham
HAM_SMS_04850,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_01810,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_01284,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_05796,Your payment has been received successfully.,44,ham
HAM_SMS_04365,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_07362,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_02107,The interview schedule will be shared soon.,43,ham
HAM_SMS_02089,I reached home safely.,22,ham
HAM_SMS_02514,Can you send me the notes from today's lecture?,47,ham
SPAM_SMS_01331,Limited time offer. Get free coupons by clicking this link.,59,spam
HAM_SMS_01034,Reminder: submit your assignment before the deadline.,53,ham
SPAM_SMS_00591,Suspicious login detected. Update your password immediately.,60,spam
SPAM_SMS_01051,Earn money from home without investment. Join now.,50,spam
HAM_SMS_07309,Please confirm your availability for the session.,49,ham
SPAM_SMS_00626,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_04045,Your class schedule has been updated for tomorrow.,50,ham
SPAM_SMS_00816,Congratulations! You have won a cash prize. Click the link to claim now.,72,spam
HAM_SMS_02907,The report is ready for review.,31,ham
HAM_SMS_00889,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_06411,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_05266,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_02674,Please find the details shared in the group.,44,ham
HAM_SMS_03711,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_04229,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_01543,The report is ready for review.,31,ham
HAM_SMS_07242,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_04147,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_00277,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_05702,The meeting has been shifted to 4 PM.,37,ham
SPAM_SMS_00462,Exclusive offer only for you. Click here to redeem.,51,spam
SPAM_SMS_00425,Claim your free gift card now before it expires.,48,spam
SPAM_SMS_00234,Recharge offer available. Get double benefits today.,52,spam
HAM_SMS_04400,The interview schedule will be shared soon.,43,ham
HAM_SMS_02892,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_06724,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_00665,Please call me when you are free.,33,ham
SPAM_SMS_00433,Final warning! Complete KYC verification now.,45,spam
HAM_SMS_04505,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_02028,The interview schedule will be shared soon.,43,ham
HAM_SMS_04138,Your order has been delivered successfully.,43,ham
HAM_SMS_03285,I reached home safely.,22,ham
SPAM_SMS_01440,Exclusive offer only for you. Click here to redeem.,51,spam
HAM_SMS_02015,Please call me when you are free.,33,ham
HAM_SMS_02180,Your payment has been received successfully.,44,ham
SPAM_SMS_01162,Urgent! Your bank account will be blocked. Verify your details immediately.,75,spam
HAM_SMS_02283,Reminder: submit your assignment before the deadline.,53,ham
SPAM_SMS_02294,Your mobile number has won a lottery prize.,43,spam
SPAM_SMS_02014,Win money instantly. Register today and claim your bonus.,57,spam
SPAM_SMS_01664,Earn money from home without investment. Join now.,50,spam
HAM_SMS_04617,The interview schedule will be shared soon.,43,ham
SPAM_SMS_01417,Claim your free gift card now before it expires.,48,spam
HAM_SMS_05504,The interview schedule will be shared soon.,43,ham
HAM_SMS_07363,The report is ready for review.,31,ham
HAM_SMS_06298,Please find the details shared in the group.,44,ham
HAM_SMS_03514,Your order has been delivered successfully.,43,ham
HAM_SMS_03903,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_05114,Your payment has been received successfully.,44,ham
HAM_SMS_00798,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_02692,The report is ready for review.,31,ham
HAM_SMS_05501,Reminder: submit your assignment before the deadline.,53,ham
